Miles,Name,Teff,[Fe/H],logg
684,HD 171999,5276,0.27,4.35
685,HD 172380,3228,-0.24,0.56
686,HD 172103,6815,0.03,4.01
687,HD 172365,5886,0.05,1.28
688,HD 172958,11464,0.02,3.97
689,HD 173524,11323,0.1,3.93
690,HD 173740,3419,-1.09,4.76
691,HD 172816,3196,-0.34,0.6
692,HD 173093,6373,0.0,4.11
693,HD 173648,7914,0.38,3.7
694,HD 173650,11832,0.64,3.71
695,HD 173667,6458,0.01,4.04
696,HD 175305,5036,-1.44,2.51
697,HD 173819,4278,-0.86,0.25
698,HD 174567,10256,-0.07,3.95
699,HD 174912,5936,-0.45,4.34
700,HD 175225,5286,0.2,3.7
701,HD 174959,18073,0.29,3.41
